word,translation
about,acerca de
brass,latón
warm,cálido
army,ejército
employ,emplear
funny,divertido
anyone,cualquiera
half,mitad
raise,levantar
bless,bendecir
frost,escarcha
mouth,boca
garden,jardín
change,cambiar
scratch,rascar
clock,reloj
choose,elegir
town,ciudad
lunch,almuerzo
laugh,reír
agree,acordar
sand,arena
penny,centavo
age,edad
holiday,feriado
string,cuerda
bought,compró
crop,cosecha
ask,preguntar
body,cuerpo
balloon,globo
alone,solo
herself,ella misma
adventure,aventura
bear,oso
crazy,locura
bring,traer
front,frente
dollar,dólar
elbow,codo
really,realmente
lose,perder
grass,pasto
shelf,estante
crawl,gatear
window,ventana
library,biblioteca
move,mover
blind,ciego
wrist,muñeca
prize,premio
dinner,cena
health,salud
touch,tocar
cracker,galleta
always,siempre
compare,comparar
stretch,estirar
afternoon,tarde
stick,palo
crust,corteza
sound,sonido
important,importante
birthday, cumpleaños
swim,nadar
himself,él mismo
month,mes
airplane,avión
guess,adivinar
mouse,ratón
neighbor,vecino
flow,fluir
actor,actor
hundred,cien
morning,mañana
alike,parecido
driving,conduciendo
school,escuela
bare,desnudo
throw,lanzar
whole,entero
begin,empezar
shopping,compras
already,ya
cheese,queso
newspaper,periódico
also,también
grin,sonrisa
clear,claro
bent,doblado
cure,curar
treat,tratar
without,sin
mark,marca
piece,pieza
running,corriendo
point,punto
round,redondo
stairs,escaleras
thing,cosa
away,lejos
slept,durmió
better,mejor
children,niños
desk,escritorio
brand,marca
decimal,decimal
cherry,cereza
enjoy,disfrutar
awake,despierto
happen,suceder
kitchen,cocina
almost,casi
flower,flor
scream,gritar
circus,circo
began,empezó
trouble,problema
behind,detrás
aloud,en voz alta
ago,hace
suit,traje
churn,batir
bench,banco
match,partido
brush,cepillo
young,joven
picnic,picnic
doctor,doctor
listen,escuchar
spring,primavera
climb,escalar
afraid,temeroso
forgot,olvidó
ice cream,helado
along,junto
riding,montando
worst,peor
become,convertirse
shiny,brillante
hallway,pasillo
About,Acerca de
Funny,Divertido
Piece,Pieza
Above,Encima
Fuzz,pelusa
Afternoon,Tarde
Given,dado
Barefoot,descalzo
Grades,calificaciones
Radio,radio
Born,nacido
Saturday,sábado
Bottles,botellas
Heart,corazón
Scare,asustar
Hello,hola
School,escuela
Smart,inteligente
Catch,atrapar
Hotter,más caliente
Chain,cadena
Claw,garra
Hundred,cien
Thick,grueso
Cloth,tela
Color,color
Important,importante
Thousand,mil
Join,unir
Throw,lanzar
Corner,esquina
Kids,niños
Cosmic,cósmico
Kitten,gatito
Tired,cansado
Cross,cruz
Knee,rodilla
Crunch,crujido
Knew,supo
Damage,daño
Lady,señora
Topic,tema
Learn,aprender
Trash,basura
Dishes,platos
Done,hecho
Limp,cojear
Tulip,tulipán
Money,dinero
Eyelid,párpado
View,vista
Voice,voz
Wild,salvaje
Paint,pintar
Woman,mujer
Past,pasado
West,oeste
East,este
