word,translation
against,contra
airport,aeropuerto
alarm,alarma
alive,vivo
always,siempre
angry,enojado
answer,respuesta
Again,otra vez
Birdhouse,casita de pájaros
become,convertirse
blanket,manta
blood,sangre
bottle,botella
bounce,rebotar
breath,respirar
bridge,puente
broke,rompió
built,construido
busy,ocupado
button,botón
Cellar,sótano
catch,atrapar
Cupboard,alacena
chance,oportunidad
cheer,animar
chicken,pollo
choice,elección
Couch,sofá
Christmas,Navidad
clothes,ropa
coin,moneda
common,común
Contract,contrato
corner,esquina
cotton,algodón
couple,pareja
Candy cane,bastón de caramelo
cover,cubrir
crayon,crayón
crime,crimen
crowd,multitud
danger,peligro
deaf,sordo
Diamond,diamante
death,muerte
decide,decidir
degree,grado
deliver,entregar
dirty,sucio
divide,dividir
double,doble
downstairs,planta baja
Dime,moneda de diez centavos
eight,ocho
electric,eléctrico
engine,motor
faint,desmayar
false,falso
famous,famoso
February,febrero
felt,sentir
fever,fiebre
Follow,seguir
fifty,cincuenta
final,final
forever,por siempre
forty,cuarenta
Grapefruit,toronja
gold,oro
guard,guardar
health,salud
honey,miel
honor,honor
garden,jardín
hour,hora
hundred,cien
hungry,hambriento
Helicopter,helicóptero
jaw,mandíbula
juice,jugo
library,biblioteca
listen,escuchar
loyal,leal
meant,significaba
middle,medio
mirror,espejo
moment,momento
mouthwash,enjuague bucal
office,oficina
poison,veneno
parent,padre
paste,pasta
path,camino
policeman,policía
perfect,perfecto
picture,imagen
planet,planeta
playground,parque infantil
plenty,suficiente
proper,apropiado
public,público
quiet,silencioso
quit,dejar
reason,razón
rope,cuerda
round,redondo
ruler,regla
safe,seguro
sauce,salsa
scrap,resto
seventy,setenta
sharp,afilado
shout,gritar
sigh,suspirar
sign,signo
stuffing,relleno
since,desde
sink,fregadero
sixth,sexto
sixty,sesenta
smooth,suave
often,a menudo
special,especial
squirrel,ardilla
steal,robar
study,estudiar
style,estilo
tennis,tenis
tool,herramienta
towel,toalla
tube,tubo
tuna,atún
twenty,veinte
twice,dos veces
uncle,tío
understand,entender
umbrella,paraguas
visit,visitar
wait,esperar
weight,peso
wife,esposa
wonder,maravilla
word,palabra
worried,preocupado
wrist,muñeca
worse,peor
zebra,cebra
zigzag,zigzag
zipper,cierre
zoo,zoológico
cactus,cactus
easy,fácil
alphabet,alfabeto
animal,animal
apple,manzana
artist,artista
backpack,mochila
balloon,globo
Plumber,fontanero
baseball,béisbol
beautiful,hermoso
bedroom,dormitorio
bicycle,bicicleta
birthday, cumpleaños
blanket,manta
bottle,botella
brave,valiente
broccoli,brócoli
brother,hermano
butterfly,mariposa
calendar,calendario
camera,cámara
candy,dulce
carpet,alfombra
carrot,z zanahoria
castle,castillo
cereal,cereal
chocolate,chocolate
classroom,aula
cloud,nube
cupcake,panquecito
dancer, bailarín
dolphin,delfín
dress,vestido
elephant,elefante
energy,energía
envelope,sobre
family,familia
favorite,favorito
festival,festival
friend,amigo
garden,jardín
giraffe,jirafa
glasses,gafas
spoon,cuchara
strawberry,fresa
sunflower,girasol
Wheel,rueda
Yogurt,yogur
Itinerary,itinerario
